Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Vietnam,VNM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,72.55,75.42,77.93,84.61,90.24,96.39,104.68,112.7,122.4,126.53,134.56,139.58,153.23,161.11,178.68,187.96,194.56,207.66,219.51,240.94,258.43,257.88,258.29,268.77,283,327.32,341.58,340.42,376.53
Virgin Islands (U.S.),VIR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Yemen, Rep.",YEM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,12.37,14.02,14.8,13.92,14.3,15.82,16.48,17.82,19.24,21.07,22.25,23.84,24.03,26.98,28.24,29.33,29.68,31.41,33.06,36.97,35.61,32.39,31.47,38.35,38.81,26.05,22.74,21.97,21.76
Zambia,ZMB,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,45.34,44.86,44.18,42.91,41.34,38.85,34.72,33.24,32.69,28.68,25.68,26.26,28.61,31.02,31.15,32.45,30,30.5,30.89,29.8,32.21,32.21,36.13,37.22,37.68,38.84,39.1,39.67,40.67
Zimbabwe,ZWE,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,32.58,32.88,33.69,30.15,29.89,29.75,31.66,30.65,31.91,34.37,31.81,32.17,29.18,26.48,26.36,26.76,25.68,26.09,24.15,25.17,28.08,30.55,30.78,30.86,29.35,31.28,29.12,28.8,31.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Country Climate and Development Report (CCDR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
